entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda,aad_enabled,aad_alpha
8604,YIvg_q4t-3w0,Yes,Yes,adversarial,False,0.0,True,1.0
26786,YeYbFtxZmKL4,Yes,Yes,random,False,0.0,True,1.0
10713,YQ3vkJMVMbC8,No,No,popular,False,0.0,True,1.0
14615,Yos_2U4xqTqw,No,No,popular,False,0.0,True,1.0
23668,YoNHCc_izsDE,Yes,Yes,random,False,0.0,True,1.0
21818,YtTB0BK39JI8,Yes,Yes,adversarial,False,0.0,True,1.0
1650,YcPiSd5nJLrI,No,Yes,popular,False,0.0,True,1.0
24587,YBn4lc01q9vE,No,No,popular,False,0.0,True,1.0
3227,YfGGYeXR_LS8,Yes,Yes,adversarial,False,0.0,True,1.0
15197,YdJYO3RbBabE,Yes,Yes,popular,False,0.0,True,1.0
26472,YFc9pG54DDJM,Yes,No,popular,False,0.0,True,1.0
14038,YCxaPpRJRkn0,No,No,adversarial,False,0.0,True,1.0
20434,YUAmDLPjNyMg,Yes,Yes,random,False,0.0,True,1.0
23142,Y1HCuBnPLMqQ,Yes,Yes,popular,False,0.0,True,1.0
24653,Y4pv3w--cRrA,No,No,popular,False,0.0,True,1.0
25572,YcNARVD02-tw,Yes,Yes,random,False,0.0,True,1.0
14570,Yq4YFJA5pFXc,No,Yes,adversarial,False,0.0,True,1.0
11415,YL8dA-2Lu2hY,No,No,random,False,0.0,True,1.0
20968,YQt0_xTadAT0,No,Yes,adversarial,False,0.0,True,1.0
29880,YSQHYl2Kp5ww,No,Yes,adversarial,False,0.0,True,1.0
6600,Y11SEBDuoqSk,Yes,Yes,adversarial,False,0.0,True,1.0
5213,Y4SZ7JXDCNps,No,Yes,adversarial,False,0.0,True,1.0
10735,YdmUOSyPXkUw,Yes,Yes,random,False,0.0,True,1.0
17920,Yc0IggDOisOo,No,Yes,popular,False,0.0,True,1.0
21905,YHqndxoujCYI,No,No,adversarial,False,0.0,True,1.0
16727,YKOBkbROPv4c,No,Yes,adversarial,False,0.0,True,1.0
28744,Yjj2RyNDj7no,Yes,Yes,random,False,0.0,True,1.0
15726,YJTHMXLC9YRs,Yes,Yes,random,False,0.0,True,1.0
19497,YTgxst7Ft9js,Yes,Yes,popular,False,0.0,True,1.0
26824,YBz9Y5nZK3eo,Yes,Yes,random,False,0.0,True,1.0
31087,Y77nElZGi5NU,Yes,No,popular,False,0.0,True,1.0
9427,Yz4MeV9IGVo0,No,Yes,adversarial,False,0.0,True,1.0
6434,YyhDw7PZje3g,No,No,adversarial,False,0.0,True,1.0
1658,YFA11v4SmdBc,No,No,adversarial,False,0.0,True,1.0
10879,Y2KR0C5ysO8o,No,No,random,False,0.0,True,1.0
3186,Y-NsC63dA01g,No,Yes,adversarial,False,0.0,True,1.0
10231,Y9BukzlPNqC8,No,No,adversarial,False,0.0,True,1.0
185,YDlWd7Wmdi1E,No,Yes,random,False,0.0,True,1.0
12724,YPkmpxrsidZM,No,No,adversarial,False,0.0,True,1.0
27811,YHg6HxylRGDo,No,No,random,False,0.0,True,1.0
22810,Y-SkjbQVgJ0M,No,Yes,popular,False,0.0,True,1.0
7587,YD9GHUPGWsV0,No,No,random,False,0.0,True,1.0
906,YOpiWMltpj44,No,Yes,popular,False,0.0,True,1.0
8313,Yj0KvrVE_Oww,Yes,Yes,adversarial,False,0.0,True,1.0
15124,YCvNAwby6Xos,No,Yes,popular,False,0.0,True,1.0
27168,Y4sb9jN0SgTM,No,Yes,random,False,0.0,True,1.0
10393,YbIiiIo20PsY,Yes,Yes,popular,False,0.0,True,1.0
2890,YE6FH_xp3I54,Yes,Yes,random,False,0.0,True,1.0
5530,Y0yxEvdnimGg,Yes,Yes,adversarial,False,0.0,True,1.0
30181,YCwxgQS3SXic,No,No,adversarial,False,0.0,True,1.0
10885,YV4PLSw_WzVw,Yes,No,adversarial,False,0.0,True,1.0
1558,YcPiSd5nJLrI,No,Yes,random,False,0.0,True,1.0
20941,Y9b6RqajfAmw,No,No,popular,False,0.0,True,1.0
18223,YKVAIaRPry24,Yes,No,adversarial,False,0.0,True,1.0
28200,YHkbCUN4V3TU,No,Yes,popular,False,0.0,True,1.0
11622,Y3xDZ-kdGE3o,Yes,Yes,adversarial,False,0.0,True,1.0
26281,YDrCm-HpX67k,No,No,popular,False,0.0,True,1.0
26339,YI_8KqxP5xOA,No,Yes,random,False,0.0,True,1.0
2889,Y3wV3ST-c4PE,No,No,popular,False,0.0,True,1.0
2011,Y_AcJVyToQUQ,Yes,Yes,popular,False,0.0,True,1.0
24078,Y0_K6OKtoBBU,No,Yes,popular,False,0.0,True,1.0
27350,YG0IsabU5hn4,Yes,No,popular,False,0.0,True,1.0
13671,YpPLisQ_QXxw,Yes,No,adversarial,False,0.0,True,1.0
17339,YUXGzbBGbqAA,Yes,Yes,random,False,0.0,True,1.0
2324,YJnSwRonB9wI,Yes,Yes,random,False,0.0,True,1.0
28239,Y7bO0AJI-ihs,No,Yes,random,False,0.0,True,1.0
10356,YLxu-3_h4kc4,Yes,Yes,random,False,0.0,True,1.0
19097,YkagkXkAVPNo,No,No,random,False,0.0,True,1.0
23862,YtJhVH3VIrnE,Yes,Yes,popular,False,0.0,True,1.0
7325,Y6NBPiArs2-w,Yes,Yes,popular,False,0.0,True,1.0
926,YK_Vre_-4KqU,No,Yes,adversarial,False,0.0,True,1.0
1090,Ypaf0nyjg1Js,Yes,No,adversarial,False,0.0,True,1.0
29465,YTWOgvDaDqlU,No,No,random,False,0.0,True,1.0
20564,Y9dLLsZVRSZI,No,No,adversarial,False,0.0,True,1.0
8087,YJBWJQCS4SvA,No,Yes,popular,False,0.0,True,1.0
1671,YrJVXE6Axtrg,Yes,No,popular,False,0.0,True,1.0
7719,Yjs4dr5JusdM,No,Yes,random,False,0.0,True,1.0
9567,YE3D_z0aoUEg,Yes,Yes,adversarial,False,0.0,True,1.0
24317,Y0On6-JiVwRs,No,Yes,random,False,0.0,True,1.0
15967,YECw5Yf7QoMo,No,No,adversarial,False,0.0,True,1.0
9697,YE3Q1jfTeuWs,No,No,popular,False,0.0,True,1.0
6730,Y0Rpjl1AO-P0,Yes,No,adversarial,False,0.0,True,1.0
29654,YS0SQyFXbqF8,No,Yes,adversarial,False,0.0,True,1.0
11570,YzFzPOsOKog4,Yes,Yes,random,False,0.0,True,1.0
19848,YpO8kbg9IJnc,Yes,No,adversarial,False,0.0,True,1.0
24910,YgkWd1HugK2w,No,Yes,adversarial,False,0.0,True,1.0
22570,Y0G7rb74R-2A,Yes,Yes,random,False,0.0,True,1.0
15915,YBzHTqyX69pI,No,Yes,random,False,0.0,True,1.0
462,YSmdj6JFB9MQ,No,Yes,popular,False,0.0,True,1.0
2803,Yd1tL-9BILy8,No,Yes,adversarial,False,0.0,True,1.0
15882,Y5rh5-MCjqq8,Yes,No,popular,False,0.0,True,1.0
5476,Yhzn_wGlzGpU,No,Yes,adversarial,False,0.0,True,1.0
10395,YV4PLSw_WzVw,Yes,Yes,random,False,0.0,True,1.0
