entry_id,audio_index,label,response,correct,sampling_method,base_lambda
19332,YS_3aeOvniZc,No,No,True,popular,0.045
9309,Y2ItTq2JShdU,No,No,True,random,0.045
1157,YXJba7pTbpD0,No,No,True,adversarial,0.045
17895,YlVr-PxhZo8s,Yes,Yes,True,random,0.045
705,YuhSDBwVrEdo,Yes,No,False,popular,0.045
28296,Y0AsXkZkqelg,No,No,True,adversarial,0.045
23428,Y8ipe6b1LwHQ,No,No,True,popular,0.045
24503,YFJkvAMLmejY,Yes,Yes,True,popular,0.045
26850,YnmLMLgWPmFM,No,No,True,popular,0.045
28905,YHg6HxylRGDo,No,Yes,False,popular,0.045
12932,YdZDgJzGtLLU,Yes,No,False,popular,0.045
19083,Y-EaZ7EJJUl0,No,Yes,False,popular,0.045
11880,YkgjNIDmO8a8,Yes,Yes,True,popular,0.045
25694,Y4YMXgLFcR94,Yes,Yes,True,random,0.045
3613,YKvrcRMfFzOE,Yes,Yes,True,adversarial,0.045
12946,Y8b9z7N25DmU,No,Yes,False,popular,0.045
25784,YnmLMLgWPmFM,No,Yes,False,random,0.045
18558,Ye6jSpvTvfJ0,Yes,No,False,adversarial,0.045
22701,YNmmbNqmsPaY,No,No,True,random,0.045
18654,YSePTNAN7s-w,Yes,Yes,True,adversarial,0.045
3505,YxYwpABpZed4,No,Yes,False,adversarial,0.045
26603,YnmLMLgWPmFM,No,Yes,False,adversarial,0.045
9139,YLWng-4PDzPM,No,Yes,False,popular,0.045
5662,YRp4Ct_TQvAM,Yes,Yes,True,popular,0.045
9796,YPg2cWEnEEvc,No,No,True,random,0.045
5223,YzIgGMlZENTs,Yes,Yes,True,adversarial,0.045
24938,YSNy_axSCoyw,Yes,Yes,True,popular,0.045
1613,Y3iLGu2Omgrw,Yes,Yes,True,random,0.045
23403,YjinJkonlrWc,Yes,Yes,True,adversarial,0.045
8323,YzBXoaQ1GVlc,Yes,Yes,True,random,0.045
1605,YcPiSd5nJLrI,No,Yes,False,adversarial,0.045
2205,Ydxow2DcTrwk,No,Yes,False,popular,0.045
23459,Yyrxa6_P2I80,Yes,Yes,True,popular,0.045
3227,YfGGYeXR_LS8,Yes,Yes,True,adversarial,0.045
22164,YsI7_ycEYzAY,No,No,True,popular,0.045
26819,Y_z6pymOet7g,Yes,Yes,True,popular,0.045
2128,Y0a9wVat2PWk,No,No,True,random,0.045
20486,YAgh2EKINlSw,No,Yes,False,popular,0.045
27790,YcN-oYKd-M4E,Yes,Yes,True,random,0.045
28877,YbLZFtoWXYTA,Yes,Yes,True,random,0.045
13498,YBvw2gv1fcZw,Yes,No,False,adversarial,0.045
28445,YtNxfdAd14qE,No,No,True,popular,0.045
9112,YJfaj4P3us9M,No,Yes,False,random,0.045
11496,Ytpm5IOD5d4o,Yes,Yes,True,random,0.045
14697,YhpDltmawxIM,No,Yes,False,random,0.045
24421,Y4pv3w--cRrA,No,Yes,False,adversarial,0.045
29405,YLF6x7B0Ppvo,No,Yes,False,popular,0.045
23681,YR_g4RpU9mO0,No,No,True,popular,0.045
10384,YPg2cWEnEEvc,No,No,True,popular,0.045
2587,YpaetCbEqp2w,Yes,No,False,popular,0.045
25091,Y8nUqSYC66mI,No,No,True,popular,0.045
551,YPLHXGDnig4M,Yes,Yes,True,popular,0.045
30200,YE9zN3-C64KE,Yes,Yes,True,adversarial,0.045
29648,YxqtrbqDlz28,Yes,Yes,True,popular,0.045
9463,YD1Sy7kRoaR8,Yes,Yes,True,random,0.045
30869,YoN0IcZaHD_8,No,No,True,adversarial,0.045
28092,YR8bHTHnF8j4,No,No,True,random,0.045
7475,Y3VHpLxtd498,Yes,Yes,True,random,0.045
11247,YdmUOSyPXkUw,Yes,Yes,True,adversarial,0.045
840,Y9ZZHvwaH-CU,Yes,Yes,True,random,0.045
2157,YPb6MqpdX5Jw,No,No,True,popular,0.045
29971,YS0SQyFXbqF8,No,Yes,False,popular,0.045
14792,Y3fomsZXG3aM,Yes,Yes,True,adversarial,0.045
10395,YV4PLSw_WzVw,Yes,Yes,True,random,0.045
13058,Y6cyKp3EDm-0,Yes,No,False,adversarial,0.045
6785,Ybpv_LneHmfU,No,No,True,popular,0.045
18894,YeJCaRgf1M20,Yes,No,False,popular,0.045
17524,Y2JV3emH50XU,No,Yes,False,popular,0.045
16789,YI_vN_BFUr0Y,No,Yes,False,adversarial,0.045
7079,Y6eX6bJOFftA,Yes,Yes,True,adversarial,0.045
374,YLbken4JCr94,Yes,No,False,adversarial,0.045
14475,Y1j5NMuq1X30,No,Yes,False,random,0.045
20733,YP12nvSpKXcs,No,Yes,False,popular,0.045
242,YYNDKuNINDOY,Yes,Yes,True,random,0.045
11946,YL8dA-2Lu2hY,No,No,True,adversarial,0.045
8080,Yjs4dr5JusdM,No,No,True,adversarial,0.045
4168,YVQnmlf2OsUg,Yes,Yes,True,popular,0.045
18061,YwnqUgK_-fo4,Yes,No,False,random,0.045
13271,Y8DLcBdC5UrE,Yes,Yes,True,adversarial,0.045
19221,Y_z-bidQYVao,No,Yes,False,popular,0.045
29910,Yo3mZR8OvPko,No,Yes,False,adversarial,0.045
2531,YpaetCbEqp2w,Yes,No,False,adversarial,0.045
7770,YbmEF-c-M174,Yes,No,False,adversarial,0.045
9041,YLWng-4PDzPM,No,Yes,False,adversarial,0.045
14464,Y4_Cak7gvly4,Yes,Yes,True,random,0.045
3518,YlfO471Rn61k,Yes,No,False,adversarial,0.045
20261,YQt0_xTadAT0,No,No,True,random,0.045
6050,YfwhkCnOeyC0,Yes,Yes,True,random,0.045
4893,YYIqpIjjee00,Yes,Yes,True,adversarial,0.045
126,YYQSuFyFm3Lc,No,Yes,False,adversarial,0.045
25225,YDrCm-HpX67k,No,Yes,False,random,0.045
10174,YA2mcp0N__7U,No,Yes,False,adversarial,0.045
20852,YSCow4mpBsGY,Yes,Yes,True,popular,0.045
1650,YcPiSd5nJLrI,No,Yes,False,popular,0.045
23668,YoNHCc_izsDE,Yes,Yes,True,random,0.045
8436,YL_CNz9Vrtkw,Yes,Yes,True,adversarial,0.045
29147,YUjje3lSabsg,No,No,True,adversarial,0.045
10074,YXZTt1xdK8uQ,Yes,Yes,True,random,0.045
1693,Y3iLGu2Omgrw,Yes,Yes,True,adversarial,0.045
20423,YBMayJId0X1s,Yes,Yes,True,adversarial,0.045
1134,YBZCEDkx37rI,No,Yes,False,popular,0.045
10346,Ygr5Zss89yLQ,Yes,Yes,True,adversarial,0.045
30149,Y6i5eQOpFk_U,No,Yes,False,popular,0.045
14856,Yrp3CQsWxVgE,No,No,True,random,0.045
29326,YkLYCjD6vWI4,Yes,Yes,True,random,0.045
6042,Y0rSETXszQM0,No,No,True,random,0.045
19176,Y8VOibo9Q_Dc,Yes,Yes,True,random,0.045
6017,YO90Qy2xG6oA,Yes,Yes,True,adversarial,0.045
28353,YBoe3MeEpn_c,No,No,True,adversarial,0.045
