entry_id,audio_index,label,response,correct,mean_angle,std_angle,angle_count,sampling_method,vsv_lambda
15568,YpCQEWAFGEjc,No,No,True,88.48765349388123,3.425015813489875,96,random,0.05
14899,YhxbmDeNSO6Q,Yes,Yes,True,85.34002685546875,6.325942021721692,64,popular,0.05
9381,YawxrHOpt-sE,Yes,Yes,True,85.60977792739868,5.713463370367856,96,random,0.05
4168,YVQnmlf2OsUg,Yes,Yes,True,85.21908974647522,5.156211913032819,64,popular,0.05
9289,YfrOqlk0Wm5Y,No,Yes,False,86.41387987136841,4.22715245096352,64,adversarial,0.05
19848,YpO8kbg9IJnc,Yes,Yes,True,88.05695954958598,3.1236830110566425,96,adversarial,0.05
9086,Y63KW_EQ72yU,Yes,Yes,True,86.8910772005717,4.92848954857173,96,random,0.05
12673,Y3n05BjV7r7M,Yes,Yes,True,85.75448767344157,5.657450396303116,96,random,0.05
20197,YmUGmCSNETcg,No,Yes,False,83.45668429136276,7.660110101642734,64,popular,0.05
13760,YNX0gR9Eebp0,Yes,Yes,True,87.25784301757812,3.0373163282466016,96,adversarial,0.05
3739,YjOYvIISk--4,Yes,Yes,True,84.70091187953949,5.769369836129954,64,random,0.05
7933,YhuMLK0oA3L8,No,Yes,False,87.33037130037944,4.054585217501062,96,random,0.05
22304,Y2ceUOv8A3FE,Yes,No,False,86.55759636561076,4.126511825366061,96,adversarial,0.05
10232,Y8OTd45_6cvY,Yes,Yes,True,86.33839440345764,2.973083716485672,64,adversarial,0.05
19272,Yvsy1IpYmrSY,No,Yes,False,87.41502006848653,6.057904122119256,96,adversarial,0.05
934,YK_Vre_-4KqU,No,No,True,87.42187873522441,4.559407158171526,96,popular,0.05
28066,YmW1EpJYcy_E,Yes,Yes,True,85.71397566795349,4.339536602368949,96,random,0.05
1497,YCefFMA3klxk,No,Yes,False,86.29591671625774,4.441170684033052,96,adversarial,0.05
23452,YR_g4RpU9mO0,No,No,True,86.02927947044373,4.651163134050592,96,adversarial,0.05
27966,Y2KEfkDO6hlA,No,No,True,87.1284643014272,3.5774225250876786,96,random,0.05
14890,Y-aYumc8KoXg,No,Yes,False,88.89965375264485,4.766949901216241,96,popular,0.05
15990,YTSnq6n8tElo,Yes,Yes,True,86.872927069664,4.474162035201768,64,random,0.05
14242,Y3fomsZXG3aM,Yes,Yes,True,85.86970090866089,5.738684996980506,96,random,0.05
6586,YqWYncqPSy9A,No,No,True,87.50841331481934,3.6069642559311736,96,random,0.05
19055,YWCYfCfW9NA0,Yes,Yes,True,87.20168626308441,4.377933661018525,64,popular,0.05
3613,Y41D0yXSBqfI,Yes,No,False,87.44484972953796,3.7631271765921905,96,popular,0.05
7811,Y59VP93Tzjmg,No,Yes,False,86.73217026392619,4.264344673284925,96,adversarial,0.05
4132,Y6Nvu6EcpdE8,Yes,Yes,True,87.30860392252605,3.142552532556184,96,popular,0.05
2835,YonBZOH88OYs,Yes,No,False,86.26686263084412,5.4832212012396475,96,adversarial,0.05
1437,YdlsiellSFf0,No,Yes,False,86.72875666618347,7.561597452363802,96,adversarial,0.05
29068,Y4bUL_ttiOdw,Yes,No,False,88.43976140022278,5.5137370620214154,96,adversarial,0.05
5662,YRp4Ct_TQvAM,Yes,Yes,True,85.66845679283142,4.994289439853606,96,popular,0.05
14426,YCvNAwby6Xos,No,Yes,False,86.69254970550537,3.7540920929486186,64,random,0.05
