entry_id,audio_index,label,response,correct,mean_cosine,std_cosine,cosine_count,sampling_method,vsv_lambda
25677,YWLzzpzOKtnY,No,Yes,False,-0.015896762410799663,0.0260534803723043,96,random,0.001
13167,Y4_DjmCg8Ra8,No,Yes,False,0.001456528902053833,0.022921929016175784,64,random,0.001
29749,Y9_YfTz8cnFY,Yes,Yes,True,0.009263738989830017,0.03030294200274723,64,popular,0.001
23198,Y8ipe6b1LwHQ,No,No,True,0.01875219742457072,0.03698720488818022,96,adversarial,0.001
25439,YpHNMcX-9FDs,No,Yes,False,0.011915266513824463,0.037316032348256874,64,random,0.001
9215,YE3Q1jfTeuWs,No,No,True,-0.02249433472752571,0.033026609804546685,96,random,0.001
5569,YAgaiowyYt88,No,Yes,False,-0.01222217082977295,0.03647709837567476,96,random,0.001
11831,YLB6CZ0x-kns,No,Yes,False,-0.0152854323387146,0.03871688479822623,64,random,0.001
27651,Yv59uHr-B1no,No,Yes,False,-0.010279923677444458,0.04215942951390649,64,adversarial,0.001
2794,YAbplcXwXnvE,Yes,Yes,True,0.024449874957402546,0.02359217801234105,96,popular,0.001
1003,Y4IeDBwyQ9ZQ,No,Yes,False,0.0029446035623550415,0.025977680442821033,96,popular,0.001
8779,YzEM94PH29VQ,No,No,True,-0.021696781118710835,0.03533571405797821,96,adversarial,0.001
25603,Yr2KhpX_QgXA,No,Yes,False,0.028374433517456055,0.031756763244216814,64,adversarial,0.001
28328,Y6ukYSXzfEgQ,Yes,No,False,0.006231872985760371,0.039740481737856576,96,adversarial,0.001
18939,YtmLAXm1WlnE,Yes,Yes,True,4.6543776988983154e-05,0.02926018278353366,64,popular,0.001
12195,Y9xoYx3lTJ9I,No,Yes,False,0.002114752928415934,0.05032324932187571,96,popular,0.001
126,YYQSuFyFm3Lc,No,Yes,False,-0.02214984471599261,0.04987061043652701,96,adversarial,0.001
18665,YzwoqJY03yHE,No,Yes,False,0.0007680455843607584,0.031465240118241845,96,popular,0.001
6413,Y_YS5uKWoB6g,Yes,Yes,True,-0.0008846521377563477,0.018866724396970576,64,adversarial,0.001
20109,Y8Zo30kV5aiI,Yes,Yes,True,0.01603606343269348,0.030664262985923035,64,adversarial,0.001
417,Y_xylo5_IiaM,No,Yes,False,-0.006824950377146403,0.026481631535785463,96,adversarial,0.001
26403,YEfk5kdn9lR8,No,Yes,False,-0.011216758750379086,0.041833761089414036,64,popular,0.001
27830,YggN4-K5AgoM,Yes,Yes,True,-0.0034984666854143143,0.028703529235460136,64,random,0.001
23717,YnuZEAuAl8hQ,Yes,No,False,0.002812391767899195,0.02769209319074533,96,adversarial,0.001
11765,YkgjNIDmO8a8,Yes,Yes,True,0.011422455310821533,0.02623809919539168,64,adversarial,0.001
19540,YD2Xc_jZllDY,Yes,Yes,True,-0.004120528697967529,0.026974091840873824,64,popular,0.001
2289,YEzWEO2WD_MM,No,Yes,False,0.010397911071777344,0.031912959653274536,64,random,0.001
22350,Y9E8BmPZ9mWc,No,Yes,False,0.003449233869711558,0.05402606410424942,96,random,0.001
21273,Y1L_OyngNZMA,No,No,True,0.0020489109059174857,0.02589480211574914,96,random,0.001
28174,YlgwpIImXCWA,Yes,No,False,-0.006699646512667338,0.03022487638036321,96,adversarial,0.001
24964,YpTJKJxaheI8,Yes,Yes,True,-0.018114229043324787,0.03331922235310675,96,adversarial,0.001
21580,YC9NC7wJ7C3w,No,No,True,-0.0071747638285160065,0.02863895238514247,96,popular,0.001
2625,Yd1tL-9BILy8,No,Yes,False,-0.0006502866744995117,0.060703971779583324,96,random,0.001
17228,YkHIe4CfaccQ,Yes,No,False,-0.014467447996139526,0.029064791107922285,96,adversarial,0.001
2889,Y3wV3ST-c4PE,No,No,True,0.004929692794879277,0.02713278802639533,96,popular,0.001
9812,YbIiiIo20PsY,Yes,No,False,0.024003267288208008,0.03770936856853605,64,random,0.001
13151,YNeZerAPXR-A,No,No,True,0.012552142143249512,0.04571133079473611,96,popular,0.001
19580,YH7-orYrKBeo,Yes,Yes,True,0.013799082487821579,0.02498151636093761,96,random,0.001
30005,YndxkSQKxaak,No,Yes,False,0.0017780140042304993,0.025286915621346554,96,popular,0.001
