entry_id,audio_index,label,response,correct,mean_cosine,std_cosine,cosine_count,sampling_method,vsv_lambda
4080,YZYWCwfCkBp4,Yes,No,False,0.11139086789141099,0.07804734760730454,144,random,0.05
31315,YbhlhcGONisM,No,Yes,False,0.10288018889776948,0.060813394636800244,72,popular,0.05
7724,Y5eSRL3PRHzo,Yes,Yes,True,0.09837492895247932,0.056957253994177406,72,random,0.05
4117,Y9XqkKuTqEOM,No,No,True,0.09496166714234278,0.06285414694299288,72,random,0.05
20340,YROootH-mtEI,No,No,True,0.08970069409029006,0.06219427387359631,108,adversarial,0.05
356,YyL3gKa6YLoM,No,Yes,False,0.09478961063885233,0.05657309057208434,72,popular,0.05
6259,Y-DmjkgWa-rw,No,No,True,0.10840605765891571,0.06209555269826917,72,popular,0.05
10346,Y8OTd45_6cvY,Yes,No,False,0.10964797920961347,0.06452986758920701,72,popular,0.05
20343,YPvWI4p74UOs,No,Yes,False,0.09616794999520709,0.0652538705757442,72,popular,0.05
29068,Y4bUL_ttiOdw,Yes,No,False,0.08460360545001028,0.07410428832854593,540,adversarial,0.05
17727,Yj1AiqT5oHZc,Yes,Yes,True,0.09554299823422399,0.05800365643244926,72,random,0.05
29853,YXWw7ZM1c_QA,Yes,No,False,0.09124738749772034,0.06928584986643614,108,adversarial,0.05
20583,YKJKHDKKW3XU,Yes,No,False,0.06463342862790106,0.06877062209508768,108,adversarial,0.05
5213,Y4SZ7JXDCNps,No,Yes,False,0.09007513581740635,0.06724453950005159,108,adversarial,0.05
21664,Y7_smJ8VbfSU,No,No,True,0.04693429684266448,0.07327803336201608,108,popular,0.05
6291,Y11SEBDuoqSk,Yes,Yes,True,0.09380040822671382,0.06361670700409065,108,random,0.05
29060,Y4UPOUGVMlEs,Yes,Yes,True,0.10098280916335406,0.06867366968668318,108,random,0.05
22607,Y5ORpSk5CIWc,No,No,True,0.059993094186884935,0.07180957958439156,108,popular,0.05
6633,YXIooZl1QdM4,Yes,Yes,True,0.10041551773772678,0.06346449128709808,72,random,0.05
7627,YJBWJQCS4SvA,No,No,True,0.09628354387219858,0.06119760815075229,108,random,0.05
21321,Ym_U506sf9p4,Yes,Yes,True,0.08190895750023494,0.06774144858570684,108,adversarial,0.05
9515,Yz4MeV9IGVo0,No,No,True,0.09363343976696746,0.0693194983502467,144,popular,0.05
14622,YSNIaYhri76w,Yes,Yes,True,0.09271892923344341,0.06082427860877947,72,adversarial,0.05
