entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda
7988,YEvZ3jOMYWxk,No,No,random,True,0.035
21255,Y466ucPGoNSQ,Yes,Yes,popular,True,0.035
23718,Y1wW0YJQ-Xa0,Yes,Yes,popular,True,0.035
2606,Yific_gRalg0,No,No,adversarial,True,0.035
14467,YPVvi2SDOjVc,Yes,Yes,popular,True,0.035
3468,YNeWW30WZjPc,Yes,Yes,random,True,0.035
20795,YKJKHDKKW3XU,Yes,No,popular,True,0.035
9697,YE3Q1jfTeuWs,No,Yes,popular,True,0.035
22350,Y9E8BmPZ9mWc,No,Yes,random,True,0.035
6535,Y35b9BSmN5JM,Yes,Yes,adversarial,True,0.035
16125,YZNEZLlDVgrE,Yes,Yes,adversarial,True,0.035
4006,YPMMkPq5jJXY,Yes,No,adversarial,True,0.035
1671,YrJVXE6Axtrg,Yes,No,popular,True,0.035
6097,YEbpOXac13yo,No,Yes,random,True,0.035
21796,YAj_VMUSNjNM,Yes,Yes,random,True,0.035
21799,Y2bq2lc3DLwM,No,Yes,popular,True,0.035
6450,YFKaJsvcyHTk,No,Yes,random,True,0.035
7165,Y2ErfX6ZT5pM,No,No,popular,True,0.035
26870,Ys_EWjoiVfzo,Yes,Yes,random,True,0.035
28485,YXi6V0LGvqoo,No,No,popular,True,0.035
24311,YmVjub3o_IxE,No,Yes,adversarial,True,0.035
25791,YFi4-IqJo2xQ,No,Yes,popular,True,0.035
4795,Y52IxrdTxGs4,No,Yes,random,True,0.035
22800,YCMNlIW6Lkwc,No,Yes,adversarial,True,0.035
20938,YWUyeFOyKIg0,Yes,Yes,adversarial,True,0.035
25342,YfPqj3nnwQOI,Yes,Yes,random,True,0.035
30447,YmGa2JgAiKV8,No,Yes,popular,True,0.035
3213,YEQVWhHmT_cE,Yes,Yes,random,True,0.035
30987,YbhlhcGONisM,No,Yes,adversarial,True,0.035
26472,YWLzzpzOKtnY,No,Yes,adversarial,True,0.035
12673,Y3n05BjV7r7M,Yes,Yes,random,True,0.035
16133,Y_oKXrY5Ff0g,Yes,Yes,random,True,0.035
28206,Y9PN4gyxpH2M,Yes,Yes,random,True,0.035
7654,Y6cS0FsUM-cQ,Yes,No,adversarial,True,0.035
26403,YEfk5kdn9lR8,No,No,popular,True,0.035
1203,YglAeihz0NAM,No,Yes,random,True,0.035
5405,YZ1Cyj4N05lk,No,Yes,adversarial,True,0.035
6160,Yjlwe9jtu5Gw,Yes,Yes,random,True,0.035
28634,Y9_YfTz8cnFY,Yes,Yes,random,True,0.035
27004,Yi6MQCm58zlY,Yes,Yes,popular,True,0.035
1463,YCefFMA3klxk,No,Yes,random,True,0.035
24935,YS8k47ME-YT4,No,No,popular,True,0.035
11645,YyVjivgsU2aA,No,No,popular,True,0.035
5811,YGuizRlAQ8qQ,No,No,random,True,0.035
17234,YbIV3bJZpkgA,Yes,Yes,random,True,0.035
22148,Y0yETgW44MZU,Yes,Yes,random,True,0.035
10841,YMTIF_l_8d4Q,No,No,random,True,0.035
7748,Y6cS0FsUM-cQ,Yes,No,popular,True,0.035
29362,Y4bUL_ttiOdw,Yes,No,popular,True,0.035
28547,Y4CAMv5nlr-0,No,No,adversarial,True,0.035
16225,YJTHMXLC9YRs,Yes,Yes,adversarial,True,0.035
26010,YiOCpICiu4LA,No,Yes,popular,True,0.035
27316,Y54eRRbCtPn8,No,No,adversarial,True,0.035
1134,YBZCEDkx37rI,No,Yes,popular,True,0.035
22450,YFeHndzYAUkg,Yes,Yes,adversarial,True,0.035
10842,Ydkiwn2FdDVw,No,Yes,popular,True,0.035
17162,Y2a6GNu6uCDE,Yes,Yes,random,True,0.035
487,Yu84FiZ_omhA,Yes,Yes,random,True,0.035
10861,YOr7umk40TZA,No,Yes,adversarial,True,0.035
7486,YOTLtzk0W4zg,No,Yes,random,True,0.035
3310,YUmNrhFKpWIY,Yes,Yes,adversarial,True,0.035
3053,YfGGYeXR_LS8,Yes,Yes,random,True,0.035
3385,YJ0yeFeKvIt8,No,No,random,True,0.035
15997,Y5G6b_QWL3nY,No,No,popular,True,0.035
26988,Y3qTL7QRk-tg,No,Yes,adversarial,True,0.035
2085,Ydxow2DcTrwk,No,Yes,random,True,0.035
28911,YDAN1t9ukkg0,Yes,No,adversarial,True,0.035
12946,Y8b9z7N25DmU,No,Yes,popular,True,0.035
26519,Y4YMXgLFcR94,Yes,Yes,adversarial,True,0.035
4631,YVE6Ku0-ucUM,No,No,random,True,0.035
31087,Y77nElZGi5NU,Yes,No,popular,True,0.035
20254,YWUyeFOyKIg0,Yes,Yes,random,True,0.035
14235,YwrQDkX0NbTA,No,No,popular,True,0.035
30446,YF-47fRplQEc,No,Yes,adversarial,True,0.035
1081,YXJba7pTbpD0,No,No,random,True,0.035
4668,Y7P6lcyeDKNI,Yes,Yes,popular,True,0.035
10074,YXZTt1xdK8uQ,Yes,Yes,random,True,0.035
19979,Y-BUWGM7qeUM,No,Yes,random,True,0.035
8087,YJBWJQCS4SvA,No,Yes,popular,True,0.035
19952,YESjMIqrvRj4,No,Yes,adversarial,True,0.035
25474,Y7RMpCCkQks0,No,Yes,adversarial,True,0.035
22510,Yyrxa6_P2I80,Yes,Yes,random,True,0.035
7254,Ya_Rjlu50TfA,Yes,No,popular,True,0.035
7050,YZsf2YvJfCKw,Yes,Yes,random,True,0.035
11168,YQKHpSAAjakY,Yes,Yes,random,True,0.035
9215,YE3Q1jfTeuWs,No,No,random,True,0.035
4858,YXf5LjaE_JQ0,Yes,Yes,popular,True,0.035
13330,YAWGnTI0e2Fs,Yes,No,adversarial,True,0.035
22393,Yf8WPf5F22xI,Yes,Yes,adversarial,True,0.035
31341,YJsoBpL86R5U,Yes,Yes,popular,True,0.035
24052,Yn4VktYihtJU,Yes,No,popular,True,0.035
9903,Yy3-M1sonh3M,No,No,popular,True,0.035
28579,YcN-oYKd-M4E,Yes,No,adversarial,True,0.035
19167,YnLZeG9LaLgw,Yes,Yes,popular,True,0.035
26281,YDrCm-HpX67k,No,No,popular,True,0.035
27829,Y_BSmz3SEW1w,No,Yes,adversarial,True,0.035
2013,YS0YE96w0YRk,No,No,random,True,0.035
10045,YWq4OD3olO2w,No,No,popular,True,0.035
24642,YQoEal_hKz4Q,No,Yes,random,True,0.035
30199,YJsoBpL86R5U,Yes,Yes,random,True,0.035
4080,YZYWCwfCkBp4,Yes,Yes,random,True,0.035
5227,YgQMTOKsCIyk,No,No,popular,True,0.035
29986,Y77nElZGi5NU,Yes,No,random,True,0.035
20105,Y83j4GgHXTLE,No,No,random,True,0.035
6501,Y4KObP7cREWw,No,Yes,adversarial,True,0.035
1133,YCeRoaEcqUgM,Yes,Yes,random,True,0.035
20693,YhFCmq9pCBbM,Yes,Yes,adversarial,True,0.035
14622,YSNIaYhri76w,Yes,Yes,adversarial,True,0.035
13304,Yt1hj7se76wQ,Yes,No,popular,True,0.035
9815,Y2ItTq2JShdU,No,Yes,popular,True,0.035
14760,YBLMWD6fxhpo,Yes,Yes,random,True,0.035
10049,Y0fMXnvD38zI,No,Yes,random,True,0.035
16277,YZNEZLlDVgrE,Yes,Yes,popular,True,0.035
26081,YObWjGBJF_94,Yes,No,popular,True,0.035
7579,Y2t82STv2GR8,No,No,popular,True,0.035
7653,YRdC8cviN6Bs,No,Yes,popular,True,0.035
18954,YSL3wB5sDcdw,Yes,Yes,random,True,0.035
10415,YjXkLS_QzUrI,No,Yes,random,True,0.035
3400,YUCy1BEx8jBE,No,Yes,adversarial,True,0.035
27998,Y4sb9jN0SgTM,No,Yes,adversarial,True,0.035
1903,YKtTLsveexOg,Yes,No,adversarial,True,0.035
19910,YnLtNjMimLE0,Yes,No,adversarial,True,0.035
8915,YfrOqlk0Wm5Y,No,Yes,random,True,0.035
17058,YBa92IrXFvJo,Yes,Yes,adversarial,True,0.035
7475,Y3VHpLxtd498,Yes,Yes,random,True,0.035
13375,Y13CBvjHZhOA,Yes,Yes,random,True,0.035
29335,YCwxgQS3SXic,No,Yes,random,True,0.035
18729,Y5YzNSjmZ3Wg,No,No,random,True,0.035
20941,Y9b6RqajfAmw,No,No,popular,True,0.035
7934,Y3VHpLxtd498,Yes,Yes,popular,True,0.035
16159,YGMP8m09j5vk,No,No,adversarial,True,0.035
27717,Y4CAMv5nlr-0,No,Yes,random,True,0.035
1895,Y31WGUPOYS5g,No,Yes,popular,True,0.035
18197,YZY4aGEniU_E,No,Yes,adversarial,True,0.035
9976,Y6ZFU4PqXmoI,No,Yes,random,True,0.035
5857,Y2ymiXjImwGs,No,No,random,True,0.035
10730,Yo_3MDLl_aH0,Yes,No,popular,True,0.035
10227,Y7-HCqJFwHoI,Yes,No,popular,True,0.035
16847,YwBs02amFGXs,Yes,No,adversarial,True,0.035
25072,Yyau2WIRkxb8,No,Yes,adversarial,True,0.035
6460,YEbpOXac13yo,No,Yes,popular,True,0.035
8062,YT32kii824pA,Yes,Yes,popular,True,0.035
906,YOpiWMltpj44,No,Yes,popular,True,0.035
24363,YlX3k5p2I_g0,Yes,Yes,popular,True,0.035
22250,Y6aWnK1GyeJY,No,Yes,adversarial,True,0.035
15101,Y0_ogYGDGDco,Yes,Yes,random,True,0.035
11747,Y3xDZ-kdGE3o,Yes,No,popular,True,0.035
8604,YIvg_q4t-3w0,Yes,Yes,adversarial,True,0.035
29131,Yz1ax0QPpd14,Yes,No,adversarial,True,0.035
3282,YfGGYeXR_LS8,Yes,No,popular,True,0.035
18493,Y1_z6NcidGzM,Yes,No,adversarial,True,0.035
14320,YVOXl8iR-HnI,Yes,Yes,random,True,0.035
7627,YJBWJQCS4SvA,No,Yes,random,True,0.035
19534,YPvWI4p74UOs,No,No,random,True,0.035
19221,Y_z-bidQYVao,No,Yes,popular,True,0.035
6749,Y4Ujigme2IxY,Yes,No,popular,True,0.035
10887,YAMQei29haCw,No,No,popular,True,0.035
28730,YAf4a-9rcnP0,No,No,random,True,0.035
9432,Yir1XTdyt4IY,Yes,Yes,random,True,0.035
2289,YEzWEO2WD_MM,No,No,random,True,0.035
3913,YjOYvIISk--4,Yes,Yes,adversarial,True,0.035
1762,Y_ezm-TpKj1w,Yes,Yes,random,True,0.035
20008,YW7OJevEgq7w,No,Yes,popular,True,0.035
10446,YNDaVSIJaXVs,No,No,popular,True,0.035
16509,YhDMHIDJdfDA,No,No,popular,True,0.035
17148,YrE6BJ0Bo4w4,No,No,popular,True,0.035
14605,YHqnSyliKTKA,Yes,Yes,random,True,0.035
13851,YkVYNXZd0MMY,No,Yes,random,True,0.035
4382,Y3IguMJkqpl4,Yes,No,popular,True,0.035
22028,YtTB0BK39JI8,Yes,Yes,popular,True,0.035
17101,Y7WkB6pflr6o,Yes,Yes,popular,True,0.035
12654,Yo7-X8DAToGc,Yes,Yes,adversarial,True,0.035
14211,YhxbmDeNSO6Q,Yes,Yes,random,True,0.035
19638,YkXjzsroVTtw,Yes,Yes,popular,True,0.035
9393,Yy3-M1sonh3M,No,Yes,random,True,0.035
10293,YAMQei29haCw,No,No,random,True,0.035
11530,Y9xoYx3lTJ9I,No,Yes,random,True,0.035
27705,Y3hzy-FL24no,Yes,No,adversarial,True,0.035
7356,Ykdflh3akyH8,No,Yes,adversarial,True,0.035
7626,Y3wrdPAeqjVI,No,Yes,adversarial,True,0.035
11984,YsTMKled6Q1M,Yes,No,adversarial,True,0.035
24758,YIdBDl9Wr51A,Yes,No,popular,True,0.035
13487,YgwQMkQmBITE,Yes,Yes,random,True,0.035
19602,YfmEft49sPfE,No,Yes,adversarial,True,0.035
10939,YTwR8BA6buMI,No,No,popular,True,0.035
16976,YdYZSKX7vuRI,Yes,Yes,random,True,0.035
4592,YCh0LMmhBUg4,No,Yes,random,True,0.035
28909,YR8bHTHnF8j4,No,No,adversarial,True,0.035
5798,YOUUckswAaNI,Yes,Yes,adversarial,True,0.035
21501,YhiJB_95IWiE,No,Yes,adversarial,True,0.035
3413,YF7QtqKtllK0,Yes,Yes,adversarial,True,0.035
20694,YhVUmQfBIYe8,Yes,No,popular,True,0.035
18810,YOxUVcZmeiyI,No,No,random,True,0.035
1268,YztSjcZNUY7A,Yes,Yes,adversarial,True,0.035
21158,YWUyeFOyKIg0,Yes,Yes,popular,True,0.035
30222,Yo3mZR8OvPko,No,No,popular,True,0.035
7161,Ya_Rjlu50TfA,Yes,No,adversarial,True,0.035
7534,Ynq0BF9zGkzg,No,No,popular,True,0.035
18011,YatmDP_fmK_8,No,No,random,True,0.035
