layer,correct_mean,incorrect_mean,difference,p_value,cohens_d,significant
0,-0.11324365864826784,-0.11101889161733365,-0.0022247670309341883,0.1098043000123041,-0.03651000106756382,False
1,-0.021821784328191523,-0.02415710900028249,0.002335324672090966,0.09215167242976853,0.03855098923276595,False
2,-0.09312276832937035,-0.09079426537118276,-0.002328502958187581,0.027881971829577877,-0.05029907744334643,True
3,-0.06502211042101812,-0.06528007703074765,0.0002579666097295291,0.8365230064342188,0.0047213879419399155,False
4,-0.015067514365758447,-0.01573848116555292,0.000670966799794474,0.685878990210175,0.009291437710747695,False
5,-0.0403436543282775,-0.04059903919381616,0.00025538486553865897,0.8759823434680859,0.0035730678066696127,False
6,-0.0003946995466321823,0.0012219576557049613,-0.0016166572023371436,0.29668062603273554,-0.023713461223078425,False
7,0.008944762434996138,0.010268082089039461,-0.0013233196540433229,0.2910833293512131,-0.024127870301250947,False
8,-0.02391023027567169,-0.023031558828315535,-0.0008786714473561566,0.2706708326263087,-0.025324108537292292,False
9,0.017705626894363984,0.019001210470906933,-0.0012955835765429483,0.04195788891581026,-0.0468867821146221,True
10,0.022275361318406794,0.02393596531157921,-0.001660603993172416,0.014073410006754066,-0.05689421619068648,True
11,0.006947847766443576,0.008722898753185934,-0.0017750509867423573,0.006225681620578069,-0.06330670835075142,True
12,0.009471743785095695,0.011408642920086195,-0.0019368991349905003,0.0005037096910488019,-0.08081575652137096,True
13,-0.002715681942188692,-0.0013996711718321138,-0.001316010770356578,0.034923285048154326,-0.04852179271830473,True
14,0.01858990319664776,0.01994477461199295,-0.0013548714153451928,0.019187598678679973,-0.0541424797921509,True
15,0.0025237403043168647,0.0049355500958872854,-0.0024118097915704208,5.347487839262636e-08,-0.12442201292043795,True
16,-0.003895342381737363,-0.00327141720079883,-0.0006239251809385333,0.11048901371491443,-0.03698141219972168,False
17,0.00038699057785783627,0.0007183847653701004,-0.0003313941875122641,0.4108341880916353,-0.01903924344386954,False
18,-0.007680074411887795,-0.004990643722488777,-0.0026894306893990184,3.5478025219362245e-12,-0.16014145833210866,True
19,-0.006095169737932338,-0.0063496261636762415,0.0002544564257439038,0.514232020720725,0.01527687376734272,False
20,-0.002281224595069236,-0.0010338476519779244,-0.0012473769430913118,0.002947582672702316,-0.0697254748879387,True
21,0.0017918638763805778,0.00499318022097694,-0.003201316344596362,1.902868719053289e-08,-0.1304349798860308,True
22,0.005765404284236158,0.010008516383606267,-0.004243112099370109,3.32570095544555e-14,-0.17569419689061327,True
23,0.0005298501706773903,0.005608084445476001,-0.00507823427479861,4.1556595480316704e-18,-0.20069338070565004,True
24,0.004208894415278842,0.009757611910707053,-0.0055487174954282105,5.148155552198856e-19,-0.20735264524341687,True
25,0.000812687965283961,0.00464565560488226,-0.003832967639598299,7.0174915605402026e-15,-0.18122157526139332,True
26,0.01001980704193607,0.01538193778565204,-0.00536213074371597,5.325043010923577e-23,-0.22986215042299307,True
27,0.01687708456769441,0.02274673902989492,-0.005869654462200509,1.2587993203482792e-23,-0.23358405650890102,True
28,0.023097983003076986,0.0302665697541996,-0.007168586751122613,3.765843461998514e-26,-0.24504235116387754,True
29,0.0218122125546011,0.0284052779549426,-0.006593065400341502,1.4842871111964974e-20,-0.21486566379519678,True
30,0.027579524732674245,0.03268104224769518,-0.005101517515020932,7.972597270163686e-14,-0.17124891389132668,True
31,0.09539742076574637,0.0974469826352198,-0.002049561869473429,0.08736620085221691,-0.039583689624445875,False
