rank,lambda,beta,accuracy,correct,total,verbose_count,verbose_percentage,time_minutes,individual_file
1,0.07,0.4,61.47683733890631,1765,2871,117,4.075235109717868,27.074078289667764,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.07_beta0.4.csv
2,0.06,0.6,61.337513061650995,1761,2871,96,3.343782654127482,27.140717514355977,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.06_beta0.6.csv
3,0.07,0.6,60.98920236851272,1751,2871,192,6.687565308254964,28.399594243367513,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.07_beta0.6.csv
4,0.07,0.2,60.88470916057123,1748,2871,51,1.7763845350052248,26.723225021362303,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.07_beta0.2.csv
5,0.05,0.4,60.74538488331592,1744,2871,27,0.9404388714733543,26.677168142795562,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.05_beta0.4.csv
6,0.06,0.4,60.675722744688265,1742,2871,46,1.6022291884360849,26.78094418446223,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.06_beta0.4.csv
7,0.06,0.2,60.397074190177634,1734,2871,25,0.8707767328456983,26.606688459714253,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.06_beta0.2.csv
8,0.07,0.0,60.36224312086381,1733,2871,29,1.0101010101010102,26.59729395310084,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.07_beta0.0.csv
9,0.05,0.2,60.25774991292233,1730,2871,14,0.48763497039359105,26.578543027242024,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.05_beta0.2.csv
10,0.05,0.6,60.15325670498084,1727,2871,47,1.637060257749913,26.90789827108383,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.05_beta0.6.csv
11,0.04,0.6,59.80494601184256,1717,2871,13,0.4528039010797631,26.658380202452342,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.04_beta0.6.csv
12,0.04,0.0,59.735283873214904,1715,2871,10,0.34831069313827934,26.56764094432195,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.04_beta0.0.csv
13,0.03,0.6,59.700452803901086,1714,2871,7,0.24381748519679552,26.595555051167807,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.03_beta0.6.csv
14,0.06,0.0,59.63079066527342,1712,2871,12,0.41797283176593525,26.59114533662796,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.06_beta0.0.csv
15,0.05,0.0,59.456635318704286,1707,2871,14,0.48763497039359105,26.536909759044647,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.05_beta0.0.csv
16,0.04,0.2,59.421804249390455,1706,2871,10,0.34831069313827934,26.597541538874307,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.04_beta0.2.csv
17,0.04,0.4,59.28247997213515,1702,2871,15,0.522466039707419,26.69143472115199,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.04_beta0.4.csv
18,0.03,0.4,59.24764890282132,1701,2871,4,0.13932427725531174,26.59572828610738,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.03_beta0.4.csv
19,0.03,0.0,58.93416927899686,1692,2871,1,0.034831069313827935,26.614324482282004,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.03_beta0.0.csv
20,0.03,0.2,58.89933820968304,1691,2871,7,0.24381748519679552,26.627800019582114,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.03_beta0.2.csv
21,0.02,0.0,58.760013932427725,1687,2871,2,0.06966213862765587,26.811991480986276,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.02_beta0.0.csv
22,0.02,0.6,58.69035179380007,1685,2871,2,0.06966213862765587,26.664420688152312,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.02_beta0.6.csv
23,0.02,0.4,58.411703239289444,1677,2871,3,0.10449320794148381,26.643302464485167,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.02_beta0.4.csv
24,0.02,0.2,58.307210031347964,1674,2871,4,0.13932427725531174,26.623401347796122,/home/andrew99245/SAKURA_Reasoning/grid_search/prompt_eng_data_prompt_evaluation_result_lambda0.02_beta0.2.csv
