entry_id,audio_index,label,response,sampling_method,vsv_enabled,vsv_lambda,vsv_beta,is_verbose
18237,YXamQAY_WXRY,No,Yes,random,True,0.05,0.2,False
27004,Yi6MQCm58zlY,Yes,Yes,popular,True,0.05,0.2,False
3082,YzEaGx6an4es,No,No,popular,True,0.05,0.2,False
9292,Y3ghVB-KaU_E,Yes,Yes,random,True,0.05,0.2,False
455,YsVYTOURVsQ0,Yes,Yes,popular,True,0.05,0.2,False
11258,YinSvboaSRwA,Yes,No,popular,True,0.05,0.2,False
20239,YPZBUdlKwX04,No,No,adversarial,True,0.05,0.2,False
26472,YWLzzpzOKtnY,No,Yes,adversarial,True,0.05,0.2,False
27170,Y8ZH_PoK0clI,Yes,Yes,popular,True,0.05,0.2,False
24503,YFJkvAMLmejY,Yes,Yes,popular,True,0.05,0.2,False
27915,Yv59uHr-B1no,No,No,popular,True,0.05,0.2,False
11496,Ytpm5IOD5d4o,Yes,Yes,random,True,0.05,0.2,False
29060,Y4UPOUGVMlEs,Yes,Yes,random,True,0.05,0.2,False
24037,Y9MgGaTbmc6g,No,No,adversarial,True,0.05,0.2,False
21820,Y6CDl4CqOgMg,Yes,Yes,popular,True,0.05,0.2,False
19033,Y_z-bidQYVao,No,Yes,adversarial,True,0.05,0.2,False
12927,YBvw2gv1fcZw,Yes,Yes,random,True,0.05,0.2,False
28528,YxqtrbqDlz28,Yes,Yes,random,True,0.05,0.2,False
4969,YYIqpIjjee00,Yes,No,popular,True,0.05,0.2,False
25031,YMvHpNzDpC6Q,Yes,No,adversarial,True,0.05,0.2,False
4763,YbX2vDaHL26U,No,Yes,adversarial,True,0.05,0.2,False
1134,YBZCEDkx37rI,No,Yes,popular,True,0.05,0.2,False
9167,YIvfaKPDWC00,Yes,Yes,popular,True,0.05,0.2,False
18954,YSL3wB5sDcdw,Yes,Yes,random,True,0.05,0.2,False
29537,YAf4a-9rcnP0,No,Yes,adversarial,True,0.05,0.2,False
28579,YcN-oYKd-M4E,Yes,No,adversarial,True,0.05,0.2,False
6902,YxUWSHYoslPQ,No,Yes,popular,True,0.05,0.2,False
17216,Yc0IggDOisOo,No,No,random,True,0.05,0.2,False
24797,Yram-QPKSQYc,No,Yes,adversarial,True,0.05,0.2,False
356,YyL3gKa6YLoM,No,Yes,popular,True,0.05,0.2,False
23329,YmJ6ZO3xEcgw,Yes,No,popular,True,0.05,0.2,False
23154,Y9hxFqltp3xw,Yes,Yes,random,True,0.05,0.2,False
30149,YeXj9OAik5cc,Yes,Yes,random,True,0.05,0.2,False
21905,YHqndxoujCYI,No,No,adversarial,True,0.05,0.2,False
22610,Y1a2XWJ8NA_Q,Yes,No,adversarial,True,0.05,0.2,False
19895,Y9dLLsZVRSZI,No,No,random,True,0.05,0.2,False
4837,YbX2vDaHL26U,No,No,popular,True,0.05,0.2,False
2672,YonBZOH88OYs,Yes,Yes,random,True,0.05,0.2,False
28023,YmSF_FqBtRPs,No,No,popular,True,0.05,0.2,False
3897,Y6Nvu6EcpdE8,Yes,Yes,random,True,0.05,0.2,False
15292,Y5G6b_QWL3nY,No,No,random,True,0.05,0.2,False
7579,Y2t82STv2GR8,No,No,popular,True,0.05,0.2,False
27293,Y6pssFJ0m-kU,Yes,No,adversarial,True,0.05,0.2,False
12657,YCchRf2jq6fc,No,Yes,popular,True,0.05,0.2,False
12856,YPkmpxrsidZM,No,No,popular,True,0.05,0.2,False
15456,YKSHpYhuTotY,No,Yes,adversarial,True,0.05,0.2,False
29752,YniwgMbB6tpQ,No,No,adversarial,True,0.05,0.2,False
16800,YemGPabOePzA,Yes,Yes,popular,True,0.05,0.2,False
8229,Y-EQByFLFqig,No,Yes,popular,True,0.05,0.2,False
26383,YtwFypUcdgRc,No,Yes,random,True,0.05,0.2,False
27541,YBoe3MeEpn_c,No,No,random,True,0.05,0.2,False
15785,YpWQeV08kYR0,Yes,Yes,random,True,0.05,0.2,False
9359,YIJ6pm5Kns8A,No,Yes,adversarial,True,0.05,0.2,False
3924,YVQnmlf2OsUg,Yes,Yes,random,True,0.05,0.2,False
22572,YoiIi6H83Y38,Yes,No,popular,True,0.05,0.2,False
11946,YL8dA-2Lu2hY,No,No,adversarial,True,0.05,0.2,False
23768,YXz56Q2Q5j5c,Yes,Yes,adversarial,True,0.05,0.2,False
966,YqeSl7YZAfs4,Yes,No,popular,True,0.05,0.2,False
6677,Y4Ujigme2IxY,Yes,No,adversarial,True,0.05,0.2,False
11412,Y2KR0C5ysO8o,No,No,adversarial,True,0.05,0.2,False
178,YDlWd7Wmdi1E,No,Yes,popular,True,0.05,0.2,False
6785,Ybpv_LneHmfU,No,No,popular,True,0.05,0.2,False
487,Yu84FiZ_omhA,Yes,Yes,random,True,0.05,0.2,False
23236,YTOaQMYc79Mw,Yes,Yes,popular,True,0.05,0.2,False
24155,Yeu5bq0A3XVQ,No,No,adversarial,True,0.05,0.2,False
26854,Y3hzy-FL24no,Yes,Yes,random,True,0.05,0.2,False
2625,Yd1tL-9BILy8,No,Yes,random,True,0.05,0.2,False
12417,Y_GI7meqlYZk,No,Yes,popular,True,0.05,0.2,False
11984,YsTMKled6Q1M,Yes,No,adversarial,True,0.05,0.2,False
26281,YDrCm-HpX67k,No,No,popular,True,0.05,0.2,False
20067,Y404cD3bVXDc,No,Yes,random,True,0.05,0.2,False
29433,Y9_YfTz8cnFY,Yes,Yes,adversarial,True,0.05,0.2,False
15647,YLCwSUVuTyvg,Yes,No,popular,True,0.05,0.2,False
27922,YxnVqvc7N7Po,Yes,Yes,random,True,0.05,0.2,False
4254,Y9ucb5HYO8ps,Yes,Yes,popular,True,0.05,0.2,False
23925,Y7MLERaOgK_Y,No,Yes,popular,True,0.05,0.2,False
24839,Y8nUqSYC66mI,No,No,adversarial,True,0.05,0.2,False
2291,YtfOIhQpYYe8,Yes,No,random,True,0.05,0.2,False
30514,Ylq9RvAA4mqY,No,Yes,adversarial,True,0.05,0.2,False
23098,YmJ6ZO3xEcgw,Yes,Yes,adversarial,True,0.05,0.2,False
16199,YpuZL08fzpXk,No,Yes,popular,True,0.05,0.2,False
6051,YFfUqv0Vv3ME,No,Yes,popular,True,0.05,0.2,False
58,Y6BJ455B1aAs,No,Yes,random,True,0.05,0.2,False
4245,YNJEPbGVBJIQ,No,No,adversarial,True,0.05,0.2,False
12750,YlHh0SwUhP8U,Yes,No,adversarial,True,0.05,0.2,False
7475,Y3VHpLxtd498,Yes,Yes,random,True,0.05,0.2,False
8096,YBL8ksJ0sTXk,No,No,random,True,0.05,0.2,False
8363,YU90e2P9jy30,Yes,Yes,random,True,0.05,0.2,False
7079,Y6eX6bJOFftA,Yes,Yes,adversarial,True,0.05,0.2,False
12199,Y5iTRKJqUIw8,Yes,Yes,adversarial,True,0.05,0.2,False
4325,Y9XqkKuTqEOM,No,No,adversarial,True,0.05,0.2,False
25791,YFi4-IqJo2xQ,No,Yes,popular,True,0.05,0.2,False
8313,Yj0KvrVE_Oww,Yes,Yes,adversarial,True,0.05,0.2,False
22392,Y5ORpSk5CIWc,No,Yes,adversarial,True,0.05,0.2,False
27241,Yp9qRTh4BmSE,Yes,No,popular,True,0.05,0.2,False
22946,YZ7yDwpdGelM,No,Yes,popular,True,0.05,0.2,False
3468,YNeWW30WZjPc,Yes,Yes,random,True,0.05,0.2,False
4448,YSE_3nszEw7o,Yes,Yes,random,True,0.05,0.2,False
18543,YDc2WEiRk0rA,Yes,Yes,popular,True,0.05,0.2,False
30228,Y8o-Y4QP8LWs,No,Yes,adversarial,True,0.05,0.2,False
15528,YlTfNLKEy1RU,Yes,No,adversarial,True,0.05,0.2,False
19170,YSZ6CcXINiiE,Yes,Yes,adversarial,True,0.05,0.2,False
4743,Y79XDcI6xZm0,Yes,Yes,random,True,0.05,0.2,False
6113,YO90Qy2xG6oA,Yes,No,popular,True,0.05,0.2,False
27316,Y54eRRbCtPn8,No,No,adversarial,True,0.05,0.2,False
27487,Y0AsXkZkqelg,No,Yes,random,True,0.05,0.2,False
18197,Y3ue0gJM0THk,Yes,Yes,popular,True,0.05,0.2,False
2098,YyVVLq4ao1Ck,Yes,No,popular,True,0.05,0.2,False
28385,YMtK8L8gXRrI,No,No,popular,True,0.05,0.2,False
10975,YKel-hfZ_9h8,Yes,Yes,random,True,0.05,0.2,False
22546,YA0E_UiD-fR4,No,Yes,random,True,0.05,0.2,False
25224,Y27HIamF8pKo,No,Yes,adversarial,True,0.05,0.2,False
9684,Y3ghVB-KaU_E,Yes,Yes,adversarial,True,0.05,0.2,False
24570,YQRtuOWWya30,Yes,Yes,popular,True,0.05,0.2,False
24298,Y6ZwYgzcN6Is,Yes,No,random,True,0.05,0.2,False
24139,YLvMA1Wcgu3w,No,No,popular,True,0.05,0.2,False
17414,Yq3SEOW2m4WY,Yes,No,adversarial,True,0.05,0.2,False
13955,Ye9MWXS34o48,Yes,No,adversarial,True,0.05,0.2,False
18826,YZ-SIyOChVh8,Yes,No,adversarial,True,0.05,0.2,False
4198,Y0NGSrwioYjA,No,No,random,True,0.05,0.2,False
9537,YnlC4UI4hZ60,No,No,adversarial,True,0.05,0.2,False
26497,Y54eRRbCtPn8,No,No,random,True,0.05,0.2,False
24493,Y22L_3pBa1AI,No,Yes,adversarial,True,0.05,0.2,False
12424,YbAqgL5dCQOE,No,No,random,True,0.05,0.2,False
3624,YdYvL6uEMl6E,No,No,random,True,0.05,0.2,False
7507,Y2t82STv2GR8,No,No,adversarial,True,0.05,0.2,False
10254,Ydkiwn2FdDVw,No,No,random,True,0.05,0.2,False
12362,YLB6CZ0x-kns,No,No,adversarial,True,0.05,0.2,False
8025,YD9GHUPGWsV0,No,No,popular,True,0.05,0.2,False
10827,YTwR8BA6buMI,No,No,adversarial,True,0.05,0.2,False
4215,YB4SZwi9Ce3o,No,Yes,popular,True,0.05,0.2,False
21693,Y1ed87LLY97k,No,Yes,random,True,0.05,0.2,False
30332,YQ0anPAIkfBE,No,Yes,popular,True,0.05,0.2,False
24910,YBwnGxJD9xh8,Yes,Yes,random,True,0.05,0.2,False
3658,Y7cHRSfbp7tc,No,No,adversarial,True,0.05,0.2,False
18264,Yj1AiqT5oHZc,Yes,No,adversarial,True,0.05,0.2,False
5992,Ypgq2KPX5_SA,Yes,No,adversarial,True,0.05,0.2,False
22450,YFeHndzYAUkg,Yes,Yes,adversarial,True,0.05,0.2,False
13587,YMdlEswBfZMQ,Yes,No,adversarial,True,0.05,0.2,False
23878,Y9hxFqltp3xw,Yes,Yes,adversarial,True,0.05,0.2,False
6998,Yu8bQf0SnCVI,No,No,adversarial,True,0.05,0.2,False
20105,Y83j4GgHXTLE,No,No,random,True,0.05,0.2,False
1925,Y5QZ0NtdoKJ8,No,No,adversarial,True,0.05,0.2,False
741,YMe4npKmtchA,Yes,Yes,adversarial,True,0.05,0.2,False
23590,YQRtuOWWya30,Yes,Yes,random,True,0.05,0.2,False
4436,Y0NGSrwioYjA,No,No,adversarial,True,0.05,0.2,False
4691,YHeEa1GZpUGI,Yes,Yes,random,True,0.05,0.2,False
7325,Y6NBPiArs2-w,Yes,Yes,popular,True,0.05,0.2,False
29923,YPWjEfOkb6ro,Yes,No,random,True,0.05,0.2,False
28831,Y-mhFGevxLUg,No,Yes,adversarial,True,0.05,0.2,False
9282,YxIztYnMIWUA,No,No,random,True,0.05,0.2,False
22184,Y-mb4Fw4Z0xg,No,Yes,adversarial,True,0.05,0.2,False
12078,Y9xoYx3lTJ9I,No,Yes,adversarial,True,0.05,0.2,False
14492,YdJYO3RbBabE,Yes,Yes,random,True,0.05,0.2,False
10647,YWOywdRmySs0,No,Yes,popular,True,0.05,0.2,False
23717,YnuZEAuAl8hQ,Yes,No,adversarial,True,0.05,0.2,False
17181,Yi2yhbckq3p0,No,Yes,adversarial,True,0.05,0.2,False
12582,YFL8KTgMGrN4,Yes,Yes,adversarial,True,0.05,0.2,False
6760,YFKaJsvcyHTk,No,Yes,adversarial,True,0.05,0.2,False
