beta1,beta2,beta3,accuracy,improvement,flips,flipped_pct
0.05,0.05,0.05,63.2881,6.3741,935,32.57
0.05,0.05,0.1,63.5319,6.6179,912,31.77
0.05,0.05,0.2,62.4869,5.5730,838,29.19
0.05,0.1,0.05,63.4274,6.5134,939,32.71
0.05,0.1,0.1,63.4970,6.5831,913,31.80
0.05,0.1,0.2,62.6611,5.7471,843,29.36
0.05,0.2,0.05,63.5667,6.6527,945,32.92
0.05,0.2,0.1,63.5667,6.6527,919,32.01
0.05,0.2,0.2,62.8004,5.8865,857,29.85
0.1,0.05,0.05,63.2532,6.3393,934,32.53
0.1,0.05,0.1,63.4970,6.5831,913,31.80
0.1,0.05,0.2,62.4869,5.5730,838,29.19
0.1,0.1,0.05,63.3925,6.4786,938,32.67
0.1,0.1,0.1,63.4970,6.5831,913,31.80
0.1,0.1,0.2,62.6263,5.7123,842,29.33
0.1,0.2,0.05,63.5667,6.6527,945,32.92
0.1,0.2,0.1,63.6364,6.7224,921,32.08
0.1,0.2,0.2,62.8004,5.8865,857,29.85
0.2,0.05,0.05,63.2881,6.3741,935,32.57
0.2,0.05,0.1,63.4970,6.5831,913,31.80
0.2,0.05,0.2,62.5218,5.6078,839,29.22
0.2,0.1,0.05,63.3925,6.4786,938,32.67
0.2,0.1,0.1,63.4970,6.5831,913,31.80
0.2,0.1,0.2,62.6611,5.7471,847,29.50
0.2,0.2,0.05,63.4622,6.5482,946,32.95
0.2,0.2,0.1,63.6364,6.7224,921,32.08
0.2,0.2,0.2,62.8004,5.8865,857,29.85
