entry_id,audio_index,label,response,correct,sampling_method,base_lambda
26931,Yy_OyLW9lBXU,No,Yes,False,adversarial,0.047
10231,Y9BukzlPNqC8,No,Yes,False,adversarial,0.047
4006,YPMMkPq5jJXY,Yes,No,False,adversarial,0.047
28579,YcN-oYKd-M4E,Yes,No,False,adversarial,0.047
14636,YeNG6fEiAE8c,Yes,Yes,True,popular,0.047
934,YK_Vre_-4KqU,No,No,True,popular,0.047
29131,Yz1ax0QPpd14,Yes,No,False,adversarial,0.047
14038,YCxaPpRJRkn0,No,No,True,adversarial,0.047
16745,Y32565FEuksc,Yes,Yes,True,adversarial,0.047
26135,Yy_OyLW9lBXU,No,Yes,False,random,0.047
7856,Y1PvMtRIlZNI,Yes,Yes,True,random,0.047
24503,YFJkvAMLmejY,Yes,Yes,True,popular,0.047
28667,Y--0w1YA1Hm4,No,No,True,random,0.047
28916,Yii3Geza3hAU,Yes,Yes,True,random,0.047
14211,YhxbmDeNSO6Q,Yes,Yes,True,random,0.047
16532,YQv1HXaT-28U,Yes,Yes,True,popular,0.047
4117,Y9XqkKuTqEOM,No,No,True,random,0.047
5950,YFfUqv0Vv3ME,No,Yes,False,adversarial,0.047
4013,Y3MoF8myFs8Y,No,Yes,False,popular,0.047
27283,YMtK8L8gXRrI,No,No,True,random,0.047
4121,Y3IguMJkqpl4,Yes,Yes,True,random,0.047
6834,YxUWSHYoslPQ,No,Yes,False,adversarial,0.047
17058,YBa92IrXFvJo,Yes,Yes,True,adversarial,0.047
27651,Yv59uHr-B1no,No,Yes,False,adversarial,0.047
23780,YxbLW9Wt1Jsg,Yes,Yes,True,popular,0.047
9655,YfK4QBQZ6i7w,Yes,Yes,True,random,0.047
28200,YHkbCUN4V3TU,No,Yes,False,popular,0.047
16171,Y4abZbau8tZo,Yes,Yes,True,popular,0.047
1076,YqZEIs6tS5vk,No,Yes,False,popular,0.047
20186,YH7-orYrKBeo,Yes,Yes,True,adversarial,0.047
26847,Yc6YJgZ3qzOw,No,No,True,random,0.047
12417,Y_GI7meqlYZk,No,Yes,False,popular,0.047
24037,Y9MgGaTbmc6g,No,No,True,adversarial,0.047
25867,YLP_DzNUkAKY,Yes,Yes,True,popular,0.047
19964,YSCow4mpBsGY,Yes,Yes,True,random,0.047
8704,YIvg_q4t-3w0,Yes,Yes,True,popular,0.047
1960,Y_AcJVyToQUQ,Yes,Yes,True,adversarial,0.047
19820,YfmEft49sPfE,No,Yes,False,popular,0.047
17622,YBGEMgl1xjac,No,No,True,adversarial,0.047
2013,YS0YE96w0YRk,No,No,True,random,0.047
30109,Y30D1tqNFHMc,Yes,Yes,True,random,0.047
15664,YGMP8m09j5vk,No,No,True,random,0.047
3822,YdYvL6uEMl6E,No,Yes,False,adversarial,0.047
27293,Y6pssFJ0m-kU,Yes,No,False,adversarial,0.047
9734,YwoadpeAGHUQ,Yes,Yes,True,popular,0.047
7889,YPMMdAKZxI_I,No,Yes,False,random,0.047
1437,YdlsiellSFf0,No,Yes,False,adversarial,0.047
1810,Yq46VXJ6JN9M,No,No,True,adversarial,0.047
7356,Ykdflh3akyH8,No,Yes,False,adversarial,0.047
26870,Ys_EWjoiVfzo,Yes,Yes,True,random,0.047
7933,YhuMLK0oA3L8,No,No,True,random,0.047
22012,Y1L_OyngNZMA,No,No,True,adversarial,0.047
22726,YAj_VMUSNjNM,Yes,Yes,True,popular,0.047
12983,YbAqgL5dCQOE,No,No,True,adversarial,0.047
28596,YHg6HxylRGDo,No,Yes,False,adversarial,0.047
21255,Y466ucPGoNSQ,Yes,Yes,True,popular,0.047
2123,YS0YE96w0YRk,No,Yes,False,popular,0.047
2223,YD9tinq3RMpU,Yes,Yes,True,random,0.047
8650,YdP5DbAzTl5M,Yes,Yes,True,random,0.047
25601,YWUpeplQr3A4,No,No,True,popular,0.047
19122,Ycz0FSQDVBMw,Yes,Yes,True,adversarial,0.047
16356,YQv1HXaT-28U,Yes,Yes,True,adversarial,0.047
7626,Y3wrdPAeqjVI,No,No,True,adversarial,0.047
17234,YbIV3bJZpkgA,Yes,Yes,True,random,0.047
23403,YjinJkonlrWc,Yes,No,False,adversarial,0.047
23768,YXz56Q2Q5j5c,Yes,Yes,True,adversarial,0.047
30149,Y6i5eQOpFk_U,No,Yes,False,popular,0.047
10991,YV4PLSw_WzVw,Yes,Yes,True,popular,0.047
10957,YLxu-3_h4kc4,Yes,No,False,popular,0.047
5891,YWmDe2xbnSY4,Yes,Yes,True,random,0.047
6954,Ykdflh3akyH8,No,No,True,random,0.047
10684,YYk274Wr5iIE,Yes,No,False,popular,0.047
9086,Y63KW_EQ72yU,Yes,Yes,True,random,0.047
12598,YqPYwp1K4sZE,No,No,True,adversarial,0.047
11622,Y3xDZ-kdGE3o,Yes,Yes,True,adversarial,0.047
25921,Yn-JyOqYSLQM,No,No,True,adversarial,0.047
8729,YU90e2P9jy30,Yes,Yes,True,adversarial,0.047
21501,YhiJB_95IWiE,No,Yes,False,adversarial,0.047
9675,YA61Mry8zBwE,No,No,True,random,0.047
18167,YrbO727iF03I,Yes,No,False,adversarial,0.047
26914,YpHYkWkZ4guE,No,Yes,False,popular,0.047
14347,YPVvi2SDOjVc,Yes,No,False,adversarial,0.047
23805,Y3ndid3jni7M,No,Yes,False,popular,0.047
20061,YpO8kbg9IJnc,Yes,Yes,True,popular,0.047
2639,Y1nUOGZgSzZo,No,Yes,False,adversarial,0.047
19925,YkagkXkAVPNo,No,No,True,popular,0.047
2871,YzEaGx6an4es,No,Yes,False,random,0.047
3247,Y-NsC63dA01g,No,Yes,False,popular,0.047
906,YOpiWMltpj44,No,Yes,False,popular,0.047
12361,YnU-AI3Cmc3M,Yes,No,False,popular,0.047
29708,Yc3nlaAkv9bA,No,Yes,False,popular,0.047
6012,YbygBWUkpaC8,Yes,No,False,popular,0.047
11003,YyVjivgsU2aA,No,No,True,random,0.047
12094,YsTMKled6Q1M,Yes,No,False,popular,0.047
8344,Yf2fSxfvmkZQ,No,Yes,False,random,0.047
4488,Y0NGSrwioYjA,No,Yes,False,popular,0.047
18267,Y5xC4hkAWiao,No,No,True,popular,0.047
15552,YLVvS3s9dFKw,No,Yes,False,adversarial,0.047
0,Y7fmOlUlwoNg,Yes,No,False,popular,0.047
27241,Yp9qRTh4BmSE,Yes,No,False,popular,0.047
22363,YoiIi6H83Y38,Yes,No,False,adversarial,0.047
14981,Y4_Cak7gvly4,Yes,No,False,adversarial,0.047
17107,YFhimNYClv40,No,Yes,False,adversarial,0.047
22800,YCMNlIW6Lkwc,No,Yes,False,adversarial,0.047
24653,Y4pv3w--cRrA,No,No,True,popular,0.047
4245,YNJEPbGVBJIQ,No,Yes,False,adversarial,0.047
29294,YlrKGCtSsAkA,Yes,Yes,True,adversarial,0.047
24938,YSNy_axSCoyw,Yes,Yes,True,popular,0.047
5133,YgQMTOKsCIyk,No,Yes,False,adversarial,0.047
12474,YbJMMp6PLKqM,Yes,Yes,True,random,0.047
16710,YkHIe4CfaccQ,Yes,Yes,True,random,0.047
11373,YMTaLknnq4wc,Yes,No,False,adversarial,0.047
21582,Y2ceUOv8A3FE,Yes,Yes,True,random,0.047
8547,YZBtgrP4vU_w,No,Yes,False,random,0.047
15310,Y0ury8KHQdL4,No,No,True,adversarial,0.047
3766,Y3MoF8myFs8Y,No,No,True,random,0.047
7653,YRdC8cviN6Bs,No,Yes,False,popular,0.047
11199,YxQDq3A4Zfbo,No,No,True,popular,0.047
21754,YyLu4b01t53k,Yes,No,False,adversarial,0.047
29880,YSQHYl2Kp5ww,No,Yes,False,adversarial,0.047
29433,Y9_YfTz8cnFY,Yes,Yes,True,adversarial,0.047
1854,YKtTLsveexOg,Yes,Yes,True,random,0.047
8682,YITlqMkR5alY,No,Yes,False,popular,0.047
2639,Yific_gRalg0,No,No,True,popular,0.047
11726,YPuLuZ_TXv-0,No,No,True,popular,0.047
